country,university,url,logo
United States,"University of California, Irvine",https://uci.edu/,University_of_California_Irvine.png
United States,"University of California, Los Angeles",https://www.ucla.edu/,University_of_California_Los_Angeles.png
United States,"University of California, Merced",https://www.ucmerced.edu/,University_of_California_Merced.png
United States,"University of California, Riverside", https://www.ucr.edu/,University_of_California_Riverside.png
United States,"University of California, San Diego",https://ucsd.edu/,University_of_California_San_Diego.png
United States,"University of California, San Francisco",https://www.ucsf.edu/,University_of_California_San_Francisco.png
United States,"University of California, Santa Barbara",https://www.ucsb.edu/,University_of_California_Santa_Barbara.png
United States,"University of California, Santa Cruz",https://www.ucsc.edu/,University_of_California_Santa_Cruz.png
United States,"University of California College of the Law, San Francisco",https://www.uchastings.edu/,University_of_California_College_of_the_Law_San_Francisco.png
United States,"California State University, Bakersfield",https://www.csub.edu/,California_State_University_Bakersfield.png
United States,"California State University, Channel Islands",https://www.csuci.edu/,California_State_University_Channel_Islands.png
United States,"California State University, Chico",https://www.csuchico.edu/,California_State_University_Chico.png
United States,"California State University, Dominguez Hills",https://www.csudh.edu/,California_State_University_Dominguez_Hills.png
United States,"California State University, East Bay",https://www.csueastbay.edu/,California_State_University_East_Bay.png
United States,"California State University, Fresno",https://www.fresnostate.edu/,California_State_University_Fresno.png
United States,"California State University, Fullerton",https://www.fullerton.edu/,California_State_University_Fullerton.png
United States,"California State University, Long Beach",https://www.csulb.edu/,California_State_University_Long_Beach.png
United States,"California State University, Los Angeles",https://www.calstatela.edu/,California_State_University_Los_Angeles.png
United States,California Maritime Academy,https://www.csum.edu/,California_Maritime_Academy.jpg
United States,"California State University, Monterey Bay",https://csumb.edu/,California_State_University_Monterey_Bay.png
United States,"California State University, Northridge", https://www.csun.edu/,California_State_University_Northridge.png
United States,"California State Polytechnic University, Pomona",https://www.cpp.edu/,California_State_Polytechnic_University_Pomona.png
United States,"California State University, Sacramento",https://www.csus.edu/,California_State_University_Sacramento.png
United States,"California State University, San Bernardino",https://www.csusb.edu/,California_State_University_San_Bernardino.png
United States,San Diego State University,https://www.sdsu.edu/,San_Diego_State_University.png
United States,San Francisco State University,https://www.sfsu.edu/,San_Francisco_State_University.png
United States,San Jose State University,https://www.sjsu.edu/,San_Jose_State_University.png
United States,California Polytechnic State University,https://www.calpoly.edu/,California_Polytechnic_State_University.png
United States,California State University San Marcos,https://www.csusm.edu/,California_State_University_San_Marcos.png
United States,Sonoma State University,https://www.sonoma.edu/,Sonoma_State_University.png
United States,"California State University, Stanislaus",https://www.csustan.edu/,California_State_University_Stanislaus.png
United States,Adams State University,https://www.adams.edu/,Adams_State_University.png
United States,University of Colorado Boulder,https://www.colorado.edu/,University_of_Colorado_Boulder.png
United States,University of Colorado Colorado Springs,https://www.uccs.edu/,University_of_Colorado_Colorado_Springs.png
United States,University of Colorado Denver,https://www.ucdenver.edu/,University_of_Colorado_Denver.png
United States,Colorado Mesa University,https://www.coloradomesa.edu/,Colorado_Mesa_University.png
United States,Colorado School of Mines,https://www.mines.edu/,Colorado_School_of_Mines.png
United States,Colorado State University,https://www.colostate.edu/,Colorado_State_University.png
United States,Colorado State University–Pueblo,https://www.csupueblo.edu/,Colorado_State_University_Pueblo.png
United States,Metropolitan State University of Denver,https://msudenver.edu/,Metropolitan_State_University_of_Denver.png
United States,University of Northern Colorado,https://www.unco.edu/,University_of_Northern_Colorado.png
United States,Western Colorado University , https://www.western.edu/,Western_Colorado_University .png
United States,Central Connecticut State University,https://www.ccsu.edu/,Central_Connecticut_State_University.png
United States,Eastern Connecticut State University,https://www.easternct.edu/,Eastern_Connecticut_State_University.png
United States,Southern Connecticut State University,https://www.southernct.edu/,Southern_Connecticut_State_University.png
United States,Western Connecticut State University,https://www.wcsu.edu/,Western_Connecticut_State_Universit.png
United States,University of Connecticut ,https://www.uconn.edu/,University_of_Connecticut.png
United States,University of Delaware,https://www.udel.edu/,University_of_Delaware.png
United States,Delaware State University,https://www.desu.edu/,Delaware_State_University.png
United States,University of the District of Columbia ,https://www.udc.edu/,University_of_the_District_of_Columbia .png
United States,Florida A&M University,https://www.famu.edu/,Florida_A&M_University.png
United States,Florida Atlantic University,https://www.fau.edu/,Florida_Atlantic_University.png
United States,Florida Gulf Coast University,https://www.fgcu.edu/,Florida_Gulf_Coast_University.png
United States,Florida International University,https://www.fiu.edu/,Florida International University.png
United States,Florida Polytechnic University,https://floridapoly.edu/,Florida_Polytechnic_University.jpg
United States,Florida State University,https://www.fsu.edu/,Florida_State_University.png
United States,University of Central Florida,https://www.ucf.edu/,University_of_Central_Florida.png
United States,University of Florida,https://www.ufl.edu/,University_of_Florida.png
United States,University of North Florida,https://www.unf.edu/,University_of_North_Florida.png
United States,University of South Florida,https://www.usf.edu/,University of South Florida.png
United States,University of West Florida,https://uwf.edu/,University_of_West_Florida.png
United States,Albany State University,https://www.asurams.edu/,Albany_State_University.png
United States,Augusta University,https://www.augusta.edu/,Augusta_University.png
United States,Clayton State University,https://www.clayton.edu/,Clayton_State_University.png
United States,College of Coastal Georgia,https://www.ccga.edu/,College_of_Coastal_Georgia.png
United States,Columbus State University,https://www.columbusstate.edu/,Columbus_State_University.png
United States,Dalton State College,https://www.daltonstate.edu/,Dalton_State_College.png
United States,East Georgia State College,https://www.ega.edu/,East_Georgia_State_College.png
United States,Fort Valley State University,https://www.fvsu.edu/,Fort_Valley_State_University.png
United States,Georgia College and State University,https://www.gcsu.edu/,Georgia_College_and_State_University.png
United States,Georgia Gwinnett College,https://www.ggc.edu/,Georgia_Gwinnett_College.png
United States,Georgia Institute of Technology,https://www.gatech.edu/,Georgia_Institute_of_Technology.png
United States,Georgia Southern University,https://www.georgiasouthern.edu/,Georgia_Southern_University.png
United States,Georgia Southwestern State University,https://www.gsw.edu/,Georgia_Southwestern_State_University.png
United States,Georgia State University,https://www.gsu.edu/,Georgia_State_University.png
United States,Gordon State College,https://www.gordonstate.edu/,Gordon_State_College.png
United States,Kennesaw State University,https://www.kennesaw.edu/,Kennesaw_State_University.png
United States,Middle Georgia State University,https://www.mga.edu/,Middle_Georgia_State_University.png
United States,Savannah State University,https://www.savannahstate.edu/,Savannah_State_University.png
United States,South Georgia State College,https://www.sgsc.edu/,South_Georgia_State_College.png
United States,University of Georgia,https://www.uga.edu/,University_of_Georgia.png
United States,University of North Georgia,https://ung.edu/,University_of_North_Georgia.png
United States,University of West Georgia,https://www.westga.edu/,University_of_West_Georgia.png
United States,Valdosta State University,https://www.valdosta.edu/,Valdosta_State_University.png
United States,University of Guam,https://www.uog.edu/,University_of_Guam.png
United States,University of Hawaii at Manoa,https://manoa.hawaii.edu/,University_of_Hawaii_at_Manoa.png
United States,University of Hawaii at Hilo,https://hilo.hawaii.edu/,University_of_Hawaii_at_Hilo.png
United States,University of Hawaii Maui College,https://maui.hawaii.edu/,University_of_Hawaii_Maui_College.jpg
United States,University of Hawaii-West Oahu,https://westoahu.hawaii.edu/,University_of_Hawaii_West_Oahu.png
United States,Boise State University,https://www.boisestate.edu/,Boise_State_University.png
United States,University of Idaho,https://www.uidaho.edu/,University_of_Idaho.png
United States,Idaho State University,https://www.isu.edu/,Idaho_State_University.png
United States,Lewis-Clark State College,https://www.lcsc.edu/,Lewis_Clark_State_College.png
United States,Chicago State University,https://www.csu.edu/,Chicago_State_University.png
United States,Eastern Illinois University,https://www.eiu.edu/,Eastern_Illinois_University.png
United States,Governors State University,https://www.govst.edu/,Governors_State_University.png
United States,Illinois State University,https://illinoisstate.edu/,Illinois_State_University.png
United States,University of Illinois Urbana-Champaign ,https://illinois.edu/,University_of_Illinois_Urbana_Champaign .png
United States,University of Illinois Chicago,https://www.uic.edu/,University_of_Illinois_at_Chicago.png
United States,University of Illinois Springfield,https://www.uis.edu/,University_of_Illinois_Springfield.jpg
United States,Northeastern Illinois University,https://www.neiu.edu/,Northeastern_Illinois_University.png
United States,Northern Illinois University,https://www.niu.edu/index.shtml,Northern_Illinois_University.png
United States,Southern Illinois University Carbondale ,https://siu.edu/,Southern_Illinois_University_Carbondale .png
United States,Southern Illinois University Edwardsville ,https://www.siue.edu/,Southern_Illinois_University_Edwardsville .png
United States,Western Illinois University,https://www.wiu.edu/,Western_Illinois_University.png
United States,Ball State University,https://www.bsu.edu/,Ball_State_University.png
United States,Indiana University Bloomington,https://bloomington.iu.edu/,Indiana_University_Bloomington.png
United States,Indiana University East,https://east.iu.edu/,Indiana_University_East.png
United States,Indiana University Fort Wayne,https://fortwayne.iu.edu/index.html,Indiana_University_Fort_Wayne.png
United States,Indiana University Kokomo,https://kokomo.iu.edu/,Indiana_University_Kokomo.png
